nqubits,QCBM_batch,QCBM_cuda_batch
4,715773.0,1.014138e6
5,1.7351e6,2.033372e6
6,4.351107e6,1.46124e6
7,1.0691048e7,1.74895e6
8,2.5094081e7,3.40923e6
9,5.6641882e7,7.59752e6
10,1.28782716e8,1.6273454e7
11,3.58412972e8,3.4951732e7
12,9.4125785e8,7.5393373e7
13,2.201672789e9,1.61973249e8
14,4.921899508e9,3.4778011e8
15,1.0707497457e10,7.4274286e8
